customer_id,qtt_order,total_spent,last_order
0,272,90067.35,2022-10-23 09:00:00
1,825,194707.21,2022-09-28 09:00:00
2,132,224159.97,2022-06-07 19:00:00
3,62,287130.72,2022-01-25 09:00:00
4,4,71469.24,2022-07-01 18:00:00
5,6,65234.29,2022-05-09 23:00:00
6,44,344206.37,2021-12-30 11:00:00
7,16,89609.58,2022-06-18 00:00:00
8,84,221850.7,2022-11-27 16:00:00
9,69,371084.49,2022-07-21 20:00:00
10,6,178569.43,2022-05-22 11:00:00
11,28,93428.62,2022-07-14 13:00:00
12,19,183484.4,2022-04-12 15:00:00
13,33,10291.91,2022-12-26 17:00:00
14,46,48374.02,2022-02-08 09:00:00
15,245,272677.89,2022-01-25 04:00:00
16,39,451044.26,2022-07-21 17:00:00
17,94,326820.71,2022-04-04 23:00:00
18,33,84064.51,2022-09-03 11:00:00
19,163,121139.29,2022-11-01 23:00:00
20,20,337199.41,2022-07-22 05:00:00
21,58,148736.57,2022-05-30 07:00:00
22,4,29507.1,2021-12-26 19:00:00
23,98,211103.02,2022-08-02 03:00:00
24,17,540116.68,2022-11-22 11:00:00
25,46,85947.51,2022-07-27 01:00:00
26,171,93540.13,2022-06-21 12:00:00
27,18,110572.51,2022-04-01 07:00:00
28,46,626078.79,2022-03-23 08:00:00
29,142,306962.73,2022-03-26 08:00:00
30,413,79082.41,2022-11-25 06:00:00
31,559,364725.13,2022-01-23 22:00:00
32,15,64582.35,2022-06-17 04:00:00
33,10,50800.8,2022-10-14 02:00:00
34,9,20051.54,2022-05-26 06:00:00
35,231,545811.95,2022-03-12 19:00:00
36,150,161327.06,2022-08-27 20:00:00
37,44,25689.3,2022-03-14 05:00:00
38,201,36448.79,2022-06-30 07:00:00
39,411,279056.42,2022-09-21 07:00:00
40,265,142031.01,2022-06-14 18:00:00
41,129,234164.58,2022-03-29 09:00:00
42,42,96869.26,2022-01-12 06:00:00
43,39,444422.38,2022-11-29 14:00:00
44,29,125508.43,2022-04-14 01:00:00
45,73,436247.24,2022-08-23 21:00:00
46,223,364255.52,2022-05-08 13:00:00
47,19,97308.84,2022-05-10 21:00:00
48,963,380737.22,2022-09-09 04:00:00
49,76,88971.42,2022-07-05 17:00:00
50,31,146103.01,2022-03-02 17:00:00
